Date : 2023-11-13 00:33:03
Directory : /Users/hernan/Documents/learn/ParCePhysics
Total : 94 files,  9785 codes, 520 comments, 2684 blanks, all 12989 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |         73 |      7,147 |        307 |      2,081 |      9,535 |
| C           |          1 |        659 |         61 |        147 |        867 |
| Makefile    |          1 |        634 |        142 |        230 |      1,006 |
| CMake       |         10 |        459 |          0 |         79 |        538 |
| YAML        |          1 |        427 |          4 |         30 |        461 |
| CMake Cache |          1 |        356 |          0 |         83 |        439 |
| GLSL        |          4 |         87 |          6 |         28 |        121 |
| Ini         |          1 |         12 |          0 |          4 |         16 |
| TypeScript  |          2 |          4 |          0 |          2 |          6 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         94 |      9,785 |        520 |      2,684 |     12,989 |
| Engine                                                                                                            |         94 |      9,785 |        520 |      2,684 |     12,989 |
| Engine (Files)                                                                                                    |          3 |        587 |         74 |        191 |        852 |
| Engine/Graphics                                                                                                   |         63 |      6,178 |        353 |      1,700 |      8,231 |
| Engine/Graphics (Files)                                                                                           |         19 |      2,341 |        170 |        768 |      3,279 |
| Engine/Graphics/CMakeFiles                                                                                        |         14 |      2,155 |        128 |        395 |      2,678 |
| Engine/Graphics/CMakeFiles (Files)                                                                                |          3 |        581 |          4 |         41 |        626 |
| Engine/Graphics/CMakeFiles/3.26.4                                                                                 |          5 |      1,436 |        124 |        336 |      1,896 |
| Engine/Graphics/CMakeFiles/3.26.4 (Files)                                                                         |          3 |        129 |          0 |         44 |        173 |
| Engine/Graphics/CMakeFiles/3.26.4/CompilerIdC                                                                     |          1 |        659 |         61 |        147 |        867 |
| Engine/Graphics/CMakeFiles/3.26.4/CompilerIdCXX                                                                   |          1 |        648 |         63 |        145 |        856 |
| Engine/Graphics/CMakeFiles/OpenGL_LearningIMGUI.dir                                                               |          3 |        116 |          0 |          9 |        125 |
| Engine/Graphics/CMakeFiles/run.dir                                                                                |          3 |         22 |          0 |          9 |         31 |
| Engine/Graphics/Entity                                                                                            |         24 |      1,551 |         49 |        494 |      2,094 |
| Engine/Graphics/Shaders                                                                                           |          4 |         87 |          6 |         28 |        121 |
| Engine/Graphics/Utilities                                                                                         |          2 |         44 |          0 |         15 |         59 |
| Engine/Physics                                                                                                    |         28 |      3,020 |         93 |        793 |      3,906 |
| Engine/Physics (Files)                                                                                            |          6 |        510 |         18 |        150 |        678 |
| Engine/Physics/Forces                                                                                             |          2 |        182 |          3 |         77 |        262 |
| Engine/Physics/Maths                                                                                              |         18 |      2,282 |         72 |        551 |      2,905 |
| Engine/Physics/Utilities                                                                                          |          2 |         46 |          0 |         15 |         61 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                          | language    | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Buffer.cpp                                             | C++         |        129 |          1 |         32 |        162 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/Buffer.h                                               | C++         |         67 |          0 |         22 |         89 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeCache.txt                                         | CMake Cache |        356 |          0 |         83 |        439 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/3.26.4/CMakeCCompiler.cmake                 | CMake       |         55 |          0 |         18 |         73 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/3.26.4/CMakeCXXCompiler.cmake               | CMake       |         64 |          0 |         20 |         84 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/3.26.4/CMakeSystem.cmake                    | CMake       |         10 |          0 |          6 |         16 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/3.26.4/CompilerIdC/CMakeCCompilerId.c       | C           |        659 |         61 |        147 |        867 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/3.26.4/CompilerIdCXX/CMakeCXXCompilerId.cpp | C++         |        648 |         63 |        145 |        856 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/CMakeConfigureLog.yaml                      | YAML        |        427 |          4 |         30 |        461 |
| /Users/hernan/Documents/learn/ParCePhysics/Engine/Graphics/CMakeFiles/CMakeDirectoryInformation.cmake             | CMake       |         12 |          0 |          5 |         17 |
